steamid	appid	playtime_forever
76561197960266172	4560	1369
76561197960266172	228200	282
76561197960266172	3590	1578
76561197960266172	550	237
76561197960266172	24960	515
76561197960266172	22000	171
76561197960266172	40700	695
76561197960266172	10680	197
76561197960266172	57200	861
76561197960266172	8190	445
76561197960266172	35140	229
76561197960266172	620	853
76561197960266172	47800	116
76561197960266172	105600	534
76561197960266172	206690	152
76561197960266172	730	1492
76561197960266172	230190	160
76561197960266172	231430	272
76561197960266172	232810	480
76561197960266172	306260	155
76561197960266172	440	192
76561197960266356	10	4152
76561197960266356	240	2180
76561197960266356	12900	2585
76561197960266356	400	261
76561197960266356	33910	602
76561197960266356	33930	209
76561197960266356	8930	21090
76561197960266356	21100	78
76561197960266356	620	1000
76561197960266356	44320	138
76561197960266356	49600	65
76561197960266356	55230	677
76561197960266356	212680	2911
76561197960266356	57300	96
76561197960266356	40800	83
76561197960266356	730	138
76561197960266356	221380	145
76561197960266356	220200	461
76561197960266356	274190	117
76561197960266356	221540	333
76561197960266356	630	211
76561197960266356	17520	131
76561197960266356	107400	140
76561197960266350	10	609
76561197960266350	220	112
76561197960266350	28050	1165
76561197960266350	39120	3218
76561197960266298	240	1551
76561197960266298	6910	294
76561197960266298	400	68
76561197960266298	7670	585
76561197960266298	13210	130
76561197960266298	13230	94
76561197960266298	17300	320
76561197960266298	17330	144
76561197960266298	20900	152
76561197960266298	17460	93
76561197960266298	24130	1461
76561197960266298	22330	794
76561197960266298	9860	590
76561197960266298	21660	180
76561197960266298	20500	180
76561197960266298	8980	2401
76561197960266298	10180	424
76561197960266298	10190	3118
76561197960266298	41500	591
76561197960266298	32430	89
76561197960266298	22370	88
76561197960266298	8850	468
76561197960266298	35140	343
76561197960266298	24420	1006
76561197960266298	22380	1001
76561197960266298	47810	2616
76561197960266298	21090	299
76561197960266298	47780	112
76561197960266298	620	792
76561197960266298	34270	77
76561197960266298	97100	265
76561197960266298	45760	603
76561197960266298	48000	62
76561197960266237	240	24791
76561197960266298	107100	461
76561197960266237	220	544
76561197960266237	13210	153
76561197960266237	550	192
76561197960266237	8930	198
